Week,Date,Split,Focus_Lift,Set_Details_lbs,Max_Rep_Weight_lbs,Total_Volume_lbs,Saturday_Sleep_Hours,Run_Time,Pace_min_km
1,01/12/2025,Upper A,Incline Bench Machine,"88x10, 88x8, 88x9",88,2376,,,
1,01/12/2025,Upper A,Assisted Pull-Up Machince,"44.8x10, 44.8x10, 44.8x10",44.8,1344,,,
1,02/12/2025,Lower A,Leg Press,"110x10, 110x10, 110x10",110,3300,,,
1,07/12/2025,Running,5k,,,,4,38:45:00,07:45
2,08/12/2025,Upper A,Incline Bench Machine,"99x10, 99x8, 88x9",99,2574,,,
2,08/12/2025,Upper A,Assisted Pull-Up Machince,"35.2x10, 35.2x8, 35.2x8",35.2,915.2,,,
2,09/12/2025,Lower A,Leg Press,"170x10, 170x10, 170x10",170,5100,,,
2,14/12/2025,Running,5k,,,,3,42:44:00,08:33
3,15/12/2025,Upper A,Incline Bench Machine,"88x10, 99x8, 88x10",99,2552,,,
3,15/12/2025,Upper A,Assisted Pull-Up Machince,"35x10, 35x9, 35x8",35.2,945,,,
3,16/12/2025,Lower A,Leg Press,"190x10, 190x10, 190x10",190,5700,,,
3,21/12/2025,Running,5k,,,,8,41:42:00,08:20
4,22/12/2025,Upper A,Incline Bench Machine,"99x10, 99x8, 99x6",99,2376,,,
4,22/12/2025,Upper A,Assisted Pull-Up Machince,"26.45x10, 26.45x8, 26.45x6",26.45,634.8,,,
4,23/12/2025,Lower A,Leg Press,"200x10, 200x10, 200x10",200,6000,,,
4,28/12/2025,Running,5k,,,,7,36:36:00,07:19
5,29/12/2025,Upper A,Incline Bench Machine,"99x10, 99x9, 99x8",99,2673,,,
5,29/12/2025,Upper A,Assisted Pull-Up Machince,"26.45x10, 26.45x8, 26.45x8",26.45,687.7,,,
5,30/12/2025,Lower A,Leg Press,"200x10, 200x10, 200x10",200,6000,,,
5,04/01/2026,Running,5k,,,,4,37:59:00,07:30
6,05/01/2026,Upper A,Incline Bench Machine,"99x8, 99x9, 99x8",99,2475,,,
6,05/01/2026,Upper A,Assisted Pull-Up Machince,"26.45x9, 26.45x10, 26.45x8",26.45,714.15,,,
6,06/01/2026,Lower A,Leg Press,"200x8, 200x10, 200x9",200,5400,,,
6,11/01/2026,Running,5k,,,,8,32:33:00,06:31
7,12/01/2026,Upper A,Incline Bench Machine,"99x8, 99x6, 99x5",99,1881,,,
7,12/01/2026,Upper A,Assisted Pull-Up Machince,"26.45x8, 26.45x8, 26.45x8",26.45,634.8,,,
7,13/01/2026,Lower A,Leg Press,"222x10, 222x10, 222x10",222,6660,,,
7,18/01/2026,Running,5k,,,,4,36:54:00,07:23
8,19/01/2026,Upper A,Incline Bench Machine,"99x10, 99x8, 99x9",99,2673,,,
8,19/01/2026,Upper A,Assisted Pull-Up Machince,"26.45x10, 26.45x8, 26.45x8",26.45,687.7,,,
8,20/01/2026,Lower A,Leg Press,"222x10, 222x10, 222x8",222,6216,,,
8,25/01/2026,Running,5k,,,,8,31:34:00,07:23
9,26/01/2026,Upper A,Incline Bench Machine,"110x8, 110x8, 110x6",110,2420,,,
9,26/01/2026,Upper A,Assisted Pull-Up Machince,"17.64x8, 17.64x7, 17.64x6",17.64,370.44,,,
9,27/01/2026,Lower A,Leg Press,"242.508x10, 242.508x9, 242.508x10",242.5,7032.732,,,
9,01/03/2026,Running,5k,,,,7,33:45:00,06:45
10,02/02/2026,Upper A,Incline Bench Machine,"110x9, 110x8, 110x7",110,2640,,,
10,02/02/2026,Upper A,Assisted Pull-Up Machince,"17.64x8, 17.64x8, 17.64x8",17.64,423.36,,,
10,03/02/2026,Lower A,Leg Press,"242.508x10, 242.508x10, 242.508x10",242.5,7275.24,,,
10,08/02/2026,Running,5k,,,,8,31:00:00,06:12